model,precision,recall,f1,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive
Random Forest,0.95,0.7755102040816326,0.8539325842696629,0.9565466081621168,0.8694125393330745,56860,4,22,76
Logistic Regression,0.05555555555555555,0.9081632653061225,0.10470588235294118,0.9736582379153125,0.7238904612723851,55351,1513,9,89
Isolation Forest,0.1568627450980392,0.16326530612244897,0.16,0.9524046992178976,0.08667012252596779,56778,86,82,16
Rule-Based Baseline,0.001183431952662722,0.01020408163265306,0.0021208907741251328,0.47201261800443306,0.001720638496713165,56020,844,97,1
